game_pk,BAT_TEAM,N,HR,venue_name,venue_id
630978,KC,27,1,Busch Stadium,2889
630978,STL,24,0,Busch Stadium,2889
630979,KC,27,2,Busch Stadium,2889
630979,STL,21,0,Busch Stadium,2889
630980,CLE,40,3,Busch Stadium,2889
630980,STL,26,1,Busch Stadium,2889
630981,CLE,26,1,Busch Stadium,2889
630981,STL,26,0,Busch Stadium,2889
630982,CLE,21,1,Busch Stadium,2889
630982,STL,28,1,Busch Stadium,2889
630983,MIN,27,3,Busch Stadium,2889
630983,STL,14,1,Busch Stadium,2889
630984,MIN,21,2,Busch Stadium,2889
630984,STL,18,0,Busch Stadium,2889
630985,CIN,25,1,Busch Stadium,2889
630985,STL,22,0,Busch Stadium,2889
630986,CIN,30,1,Busch Stadium,2889
630986,STL,20,0,Busch Stadium,2889
630987,PIT,12,1,PNC Park,31
630987,STL,17,1,PNC Park,31
630988,CIN,21,0,Busch Stadium,2889
630988,STL,24,4,Busch Stadium,2889
630989,PIT,29,0,Busch Stadium,2889
630989,STL,22,3,Busch Stadium,2889
630990,CIN,21,1,Busch Stadium,2889
630990,STL,23,0,Busch Stadium,2889
630991,CIN,26,0,Busch Stadium,2889
630991,STL,22,1,Busch Stadium,2889
630992,PIT,23,0,Busch Stadium,2889
630992,STL,28,1,Busch Stadium,2889
630993,PIT,26,2,Busch Stadium,2889
630993,STL,19,0,Busch Stadium,2889
630994,DET,18,1,Busch Stadium,2889
630994,STL,24,5,Busch Stadium,2889
630995,DET,21,2,Busch Stadium,2889
630995,STL,21,1,Busch Stadium,2889
630996,CHC,13,1,Wrigley Field,17
630996,STL,19,3,Wrigley Field,17
630997,CHC,17,0,Wrigley Field,17
630997,STL,15,0,Wrigley Field,17
630998,CHC,15,0,Wrigley Field,17
630998,STL,19,2,Wrigley Field,17
630999,PIT,28,0,Busch Stadium,2889
630999,STL,25,1,Busch Stadium,2889
631000,PIT,24,0,Busch Stadium,2889
631000,STL,21,0,Busch Stadium,2889
631001,LAD,15,1,Oracle Park,2395
631001,SF,15,0,Oracle Park,2395
631002,SD,23,1,Oracle Park,2395
631002,SF,20,3,Oracle Park,2395
631003,ARI,35,1,Oracle Park,2395
631003,SF,29,1,Oracle Park,2395
631004,ARI,24,1,Oracle Park,2395
631004,SF,25,2,Oracle Park,2395
631005,ARI,21,1,Oracle Park,2395
631005,SF,29,3,Oracle Park,2395
631006,ARI,19,1,Oracle Park,2395
631006,SF,19,0,Oracle Park,2395
631007,SEA,26,0,Oracle Park,2395
631007,SF,29,3,Oracle Park,2395
631008,SEA,24,0,Oracle Park,2395
631008,SF,28,1,Oracle Park,2395
631009,COL,25,1,Oracle Park,2395
631009,SF,29,1,Oracle Park,2395
631010,COL,24,0,Oracle Park,2395
631010,SF,28,2,Oracle Park,2395
631011,COL,32,0,Oracle Park,2395
631011,SF,29,2,Oracle Park,2395
631012,COL,29,0,Oracle Park,2395
631012,SF,33,1,Oracle Park,2395
631013,SD,23,0,Oracle Park,2395
631013,SF,19,3,Oracle Park,2395
631014,SD,27,2,Oracle Park,2395
631014,SF,21,0,Oracle Park,2395
631015,LAD,32,2,Oracle Park,2395
631015,SF,33,3,Oracle Park,2395
631016,SD,28,3,Oracle Park,2395
631016,SF,21,0,Oracle Park,2395
631017,LAD,23,1,Oracle Park,2395
631017,SF,20,0,Oracle Park,2395
631018,SD,30,1,Oracle Park,2395
631018,SF,29,0,Oracle Park,2395
631019,SF,26,1,Oracle Park,2395
631019,TEX,23,1,Oracle Park,2395
631020,SF,25,0,Oracle Park,2395
631020,TEX,19,1,Oracle Park,2395
631021,SF,28,2,Oracle Park,2395
631021,TEX,33,2,Oracle Park,2395
631022,OAK,31,2,Oracle Park,2395
631022,SF,32,3,Oracle Park,2395
631023,OAK,23,4,Oracle Park,2395
631023,SF,23,1,Oracle Park,2395
631024,OAK,33,3,Oracle Park,2395
631024,SF,29,2,Oracle Park,2395
631025,LAA,20,0,Oracle Park,2395
631025,SF,27,2,Oracle Park,2395
631026,LAA,25,1,Oracle Park,2395
631026,SF,32,2,Oracle Park,2395
631027,ARI,23,0,Oracle Park,2395
631027,SF,21,2,Oracle Park,2395
631028,ARI,27,0,Oracle Park,2395
631028,SF,21,0,Oracle Park,2395
631029,ARI,22,0,Oracle Park,2395
631029,SF,25,2,Oracle Park,2395
631030,SEA,22,2,T-Mobile Park,680
631030,TEX,23,3,T-Mobile Park,680
631031,SEA,21,2,T-Mobile Park,680
631031,TEX,24,0,T-Mobile Park,680
631032,SEA,14,0,Oracle Park,2395
631032,SF,33,3,Oracle Park,2395
631033,SD,26,2,Oracle Park,2395
631033,SF,28,4,Oracle Park,2395
631034,SEA,22,0,Oracle Park,2395
631034,SF,29,1,Oracle Park,2395
631035,HOU,26,0,T-Mobile Park,680
631035,SEA,24,0,T-Mobile Park,680
631036,SD,26,0,Petco Park,2680
631036,SEA,20,1,Petco Park,2680
631037,SD,30,1,Petco Park,2680
631037,SEA,19,1,Petco Park,2680
631038,HOU,28,0,T-Mobile Park,680
631038,SEA,22,1,T-Mobile Park,680
631039,HOU,31,2,T-Mobile Park,680
631039,SEA,21,0,T-Mobile Park,680
631040,SD,26,2,Petco Park,2680
631040,SEA,22,1,Petco Park,2680
631041,SEA,24,1,T-Mobile Park,680
631041,TEX,22,1,T-Mobile Park,680
631042,LAA,27,2,T-Mobile Park,680
631042,SEA,21,1,T-Mobile Park,680
631043,LAA,22,4,T-Mobile Park,680
631043,SEA,30,1,T-Mobile Park,680
631044,SEA,28,0,T-Mobile Park,680
631044,TEX,26,2,T-Mobile Park,680
631045,COL,28,3,T-Mobile Park,680
631045,SEA,27,1,T-Mobile Park,680
631046,COL,29,0,T-Mobile Park,680
631046,SEA,21,0,T-Mobile Park,680
631047,COL,21,0,T-Mobile Park,680
631047,SEA,24,1,T-Mobile Park,680
631048,LAD,24,3,T-Mobile Park,680
631048,SEA,24,2,T-Mobile Park,680
631049,LAD,27,1,T-Mobile Park,680
631049,SEA,18,1,T-Mobile Park,680
631050,SEA,25,1,T-Mobile Park,680
631050,TEX,21,1,T-Mobile Park,680
631051,SEA,29,1,T-Mobile Park,680
631051,TEX,28,0,T-Mobile Park,680
631052,SEA,22,3,T-Mobile Park,680
631052,TEX,23,1,T-Mobile Park,680
631053,OAK,20,2,T-Mobile Park,680
631053,SEA,19,3,T-Mobile Park,680
631054,OAK,30,2,T-Mobile Park,680
631054,SEA,13,0,T-Mobile Park,680
631055,OAK,25,2,Oakland Coliseum,10
631055,SEA,25,3,Oakland Coliseum,10
631056,COL,23,2,Petco Park,2680
631056,SD,26,1,Petco Park,2680
631057,LAA,25,3,T-Mobile Park,680
631057,SEA,25,1,T-Mobile Park,680
631058,SD,15,1,Petco Park,2680
631058,SF,18,0,Petco Park,2680
631059,SD,20,2,Oracle Park,2395
631059,SF,16,1,Oracle Park,2395
631060,SD,22,0,Petco Park,2680
631060,SF,15,0,Petco Park,2680
631061,LAD,16,0,Petco Park,2680
631061,SD,25,2,Petco Park,2680
631062,LAD,25,1,Petco Park,2680
631062,SD,27,0,Petco Park,2680
631063,LAD,26,2,Petco Park,2680
631063,SD,24,2,Petco Park,2680
631064,LAA,29,2,Petco Park,2680
631064,SD,16,0,Petco Park,2680
631065,LAA,24,3,Petco Park,2680
631065,SD,25,1,Petco Park,2680
631066,OAK,22,0,T-Mobile Park,680
631066,SEA,25,0,T-Mobile Park,680
631067,OAK,19,1,T-Mobile Park,680
631067,SEA,25,0,T-Mobile Park,680
631068,OAK,20,1,T-Mobile Park,680
631068,SEA,20,1,T-Mobile Park,680
631069,LAD,29,1,Petco Park,2680
631069,SD,18,1,Petco Park,2680
631070,OAK,28,1,T-Mobile Park,680
631070,SEA,20,0,T-Mobile Park,680
631071,COL,22,1,Petco Park,2680
631071,SD,31,3,Petco Park,2680
631072,SD,21,2,Petco Park,2680
631072,SF,18,1,Petco Park,2680
631073,ARI,20,0,Petco Park,2680
631073,SD,21,3,Petco Park,2680
631074,ARI,23,2,Petco Park,2680
631074,SD,25,2,Petco Park,2680
631075,ARI,17,3,Petco Park,2680
631075,SD,25,6,Petco Park,2680
631076,SD,29,3,Petco Park,2680
631076,TEX,27,2,Petco Park,2680
631077,SD,27,3,Petco Park,2680
631077,TEX,22,2,Petco Park,2680
631078,HOU,21,0,Petco Park,2680
631078,SD,25,0,Petco Park,2680
631079,HOU,25,1,Petco Park,2680
631079,SD,30,6,Petco Park,2680
631080,HOU,23,1,Petco Park,2680
631080,SD,24,1,Petco Park,2680
631081,SD,31,1,Petco Park,2680
631081,SEA,27,2,Petco Park,2680
631082,SD,21,1,Petco Park,2680
631082,SEA,22,2,Petco Park,2680
631083,SD,22,4,Petco Park,2680
631083,SEA,22,1,Petco Park,2680
631084,COL,20,0,Petco Park,2680
631084,SD,22,0,Petco Park,2680
631085,LAD,27,2,Petco Park,2680
631085,SD,23,2,Petco Park,2680
631086,PIT,15,0,PNC Park,31
631086,STL,19,1,PNC Park,31
631087,CHC,23,0,PNC Park,31
631087,PIT,24,0,PNC Park,31
631088,CHC,21,1,PNC Park,31
631088,PIT,19,1,PNC Park,31
631089,CHC,23,1,PNC Park,31
631089,PIT,26,2,PNC Park,31
631090,LAD,22,2,Petco Park,2680
631090,SD,25,3,Petco Park,2680
631091,ARI,25,1,Petco Park,2680
631091,SD,22,0,Petco Park,2680
631092,ARI,21,0,Petco Park,2680
631092,SD,16,2,Petco Park,2680
631096,CWS,22,1,PNC Park,31
631096,PIT,28,0,PNC Park,31
631097,ARI,21,0,Petco Park,2680
631097,SD,22,1,Petco Park,2680
631098,ARI,27,0,Petco Park,2680
631098,SD,19,1,Petco Park,2680
631099,CHC,20,0,PNC Park,31
631099,PIT,28,4,PNC Park,31
631100,CWS,28,2,PNC Park,31
631100,PIT,26,0,PNC Park,31
631101,PIT,26,1,PNC Park,31
631101,STL,20,0,PNC Park,31
631102,PIT,23,0,PNC Park,31
631102,STL,24,2,PNC Park,31
631103,MIL,28,2,PNC Park,31
631103,PIT,31,1,PNC Park,31
631104,MIL,23,2,PNC Park,31
631104,PIT,32,3,PNC Park,31
631105,DET,33,1,PNC Park,31
631105,PIT,40,3,PNC Park,31
631106,DET,31,5,PNC Park,31
631106,PIT,30,0,PNC Park,31
631107,MIL,22,1,PNC Park,31
631107,PIT,20,1,PNC Park,31
631108,MIA,22,0,Citizens Bank Park,2681
631108,PHI,24,4,Citizens Bank Park,2681
631109,CHC,39,2,PNC Park,31
631109,PIT,34,1,PNC Park,31
631110,DET,18,0,PNC Park,31
631110,PIT,25,0,PNC Park,31
631111,CHC,29,1,PNC Park,31
631111,PIT,26,2,PNC Park,31
631112,CHC,24,0,PNC Park,31
631112,PIT,30,1,PNC Park,31
631113,CIN,20,1,PNC Park,31
631113,PIT,19,0,PNC Park,31
631114,CLE,26,1,PNC Park,31
631114,PIT,24,0,PNC Park,31
631115,CIN,23,4,PNC Park,31
631115,PIT,26,1,PNC Park,31
631116,CIN,17,1,PNC Park,31
631116,PIT,25,0,PNC Park,31
631117,NYM,23,3,Citizens Bank Park,2681
631117,PHI,24,4,Citizens Bank Park,2681
631118,CLE,27,0,PNC Park,31
631118,PIT,18,0,PNC Park,31
631119,NYM,29,1,Citizens Bank Park,2681
631119,PHI,26,1,Citizens Bank Park,2681
631120,CLE,19,1,PNC Park,31
631120,PIT,25,0,PNC Park,31
631121,MIA,26,1,Citizens Bank Park,2681
631121,PHI,23,1,Citizens Bank Park,2681
631122,PHI,18,2,Citizens Bank Park,2681
631122,TOR,28,1,Citizens Bank Park,2681
631123,PHI,23,0,Citizens Bank Park,2681
631123,TOR,17,1,Citizens Bank Park,2681
631124,NYM,26,0,Citizens Bank Park,2681
631124,PHI,29,1,Citizens Bank Park,2681
631125,ATL,32,2,Citizens Bank Park,2681
631125,PHI,28,3,Citizens Bank Park,2681
631126,MIA,30,4,Citizens Bank Park,2681
631126,PHI,35,1,Citizens Bank Park,2681
631127,NYY,14,1,Citizens Bank Park,2681
631127,PHI,17,0,Citizens Bank Park,2681
631128,PHI,22,0,Citizens Bank Park,2681
631128,TOR,26,1,Citizens Bank Park,2681
631129,NYY,26,1,Citizens Bank Park,2681
631129,PHI,23,1,Citizens Bank Park,2681
631130,MIL,32,0,PNC Park,31
631130,PIT,23,2,PNC Park,31
631131,ATL,27,3,Citizens Bank Park,2681
631131,PHI,17,0,Citizens Bank Park,2681
631132,MIL,19,1,PNC Park,31
631132,PIT,25,1,PNC Park,31
631133,ATL,21,0,Citizens Bank Park,2681
631133,PHI,27,2,Citizens Bank Park,2681
631134,ATL,22,1,Citizens Bank Park,2681
631134,PHI,26,1,Citizens Bank Park,2681
631135,ATL,34,2,Citizens Bank Park,2681
631135,PHI,31,4,Citizens Bank Park,2681
631136,ATL,20,1,Citizens Bank Park,2681
631136,PHI,21,0,Citizens Bank Park,2681
631137,MIL,18,2,PNC Park,31
631137,PIT,14,0,PNC Park,31
631138,ATL,24,3,Citizens Bank Park,2681
631138,PHI,28,5,Citizens Bank Park,2681
631139,BAL,37,1,Citizens Bank Park,2681
631139,PHI,33,3,Citizens Bank Park,2681
631140,MIN,26,1,PNC Park,31
631140,PIT,24,1,PNC Park,31
631141,BAL,23,3,Citizens Bank Park,2681
631141,PHI,24,0,Citizens Bank Park,2681
631142,BAL,31,2,Citizens Bank Park,2681
631142,PHI,31,2,Citizens Bank Park,2681
631143,PHI,23,2,Citizens Bank Park,2681
631143,WSH,29,4,Citizens Bank Park,2681
631144,NYM,28,1,Citizens Bank Park,2681
631144,PHI,22,1,Citizens Bank Park,2681
631145,PHI,21,1,Citizens Bank Park,2681
631145,WSH,23,0,Citizens Bank Park,2681
631146,PHI,28,1,Citizens Bank Park,2681
631146,WSH,27,2,Citizens Bank Park,2681
631147,PIT,24,2,PNC Park,31
631147,STL,19,0,PNC Park,31
631148,MIN,29,3,PNC Park,31
631148,PIT,24,1,PNC Park,31
631149,BOS,24,4,Citizens Bank Park,2681
631149,PHI,22,1,Citizens Bank Park,2681
631150,NYM,29,2,Citizens Bank Park,2681
631150,PHI,28,1,Citizens Bank Park,2681
631151,NYM,21,1,Citizens Bank Park,2681
631151,PHI,23,1,Citizens Bank Park,2681
631152,BOS,20,1,Citizens Bank Park,2681
631152,PHI,20,0,Citizens Bank Park,2681
631153,PHI,28,2,Citizens Bank Park,2681
631153,WSH,20,0,Citizens Bank Park,2681
631154,LAA,31,0,Oakland Coliseum,10
631154,OAK,27,1,Oakland Coliseum,10
631155,OAK,25,1,Oakland Coliseum,10
631155,SEA,16,0,Oakland Coliseum,10
631156,OAK,24,0,Oakland Coliseum,10
631156,SD,32,3,Oakland Coliseum,10
631157,OAK,24,1,Oakland Coliseum,10
631157,SD,25,1,Oakland Coliseum,10
631158,OAK,22,1,Oakland Coliseum,10
631158,SD,30,1,Oakland Coliseum,10
631159,HOU,29,0,Oakland Coliseum,10
631159,OAK,27,1,Oakland Coliseum,10
631160,HOU,20,0,Oakland Coliseum,10
631160,OAK,22,1,Oakland Coliseum,10
631161,HOU,22,2,Oakland Coliseum,10
631161,OAK,24,0,Oakland Coliseum,10
631162,HOU,23,0,Oakland Coliseum,10
631162,OAK,27,1,Oakland Coliseum,10
631163,OAK,26,1,Oakland Coliseum,10
631163,SF,19,0,Oakland Coliseum,10
631164,OAK,23,1,Oakland Coliseum,10
631164,SF,23,0,Oakland Coliseum,10
631165,LAA,32,1,Oakland Coliseum,10
631165,OAK,23,1,Oakland Coliseum,10
631166,OAK,27,0,Oakland Coliseum,10
631166,SF,27,3,Oakland Coliseum,10
631167,OAK,27,1,Oakland Coliseum,10
631167,SEA,24,0,Oakland Coliseum,10
631168,LAA,23,0,Oakland Coliseum,10
631168,OAK,18,1,Oakland Coliseum,10
631169,OAK,22,0,Oakland Coliseum,10
631169,SEA,21,1,Oakland Coliseum,10
631170,LAA,29,1,Oakland Coliseum,10
631170,OAK,26,0,Oakland Coliseum,10
631171,COL,30,1,Oakland Coliseum,10
631171,OAK,27,0,Oakland Coliseum,10
631172,COL,28,0,Oakland Coliseum,10
631172,OAK,21,1,Oakland Coliseum,10
631173,OAK,20,2,Oakland Coliseum,10
631173,TEX,21,0,Oakland Coliseum,10
631174,OAK,17,4,Oakland Coliseum,10
631174,TEX,21,1,Oakland Coliseum,10
631175,OAK,22,1,Oakland Coliseum,10
631175,TEX,32,2,Oakland Coliseum,10
631176,HOU,37,0,Oakland Coliseum,10
631176,OAK,31,1,Oakland Coliseum,10
631177,HOU,25,0,Oakland Coliseum,10
631177,OAK,21,2,Oakland Coliseum,10
631178,HOU,21,1,Oakland Coliseum,10
631178,OAK,21,3,Oakland Coliseum,10
631179,ARI,21,0,Oakland Coliseum,10
631179,OAK,21,1,Oakland Coliseum,10
631180,ARI,24,1,Oakland Coliseum,10
631180,OAK,23,3,Oakland Coliseum,10
631181,LAA,26,1,Oakland Coliseum,10
631181,OAK,24,0,Oakland Coliseum,10
631182,LAA,29,1,Oakland Coliseum,10
631182,OAK,22,2,Oakland Coliseum,10
631183,BAL,17,1,Yankee Stadium,3313
631183,NYY,24,2,Yankee Stadium,3313
631184,BAL,15,0,Yankee Stadium,3313
631184,NYY,18,3,Yankee Stadium,3313
631185,BAL,24,0,Yankee Stadium,3313
631185,NYY,25,0,Yankee Stadium,3313
631186,LAA,31,0,Oakland Coliseum,10
631186,OAK,20,1,Oakland Coliseum,10
631187,BAL,22,1,Yankee Stadium,3313
631187,NYY,27,1,Yankee Stadium,3313
631188,MIA,28,2,Yankee Stadium,3313
631188,NYY,27,0,Yankee Stadium,3313
631189,NYY,32,7,Yankee Stadium,3313
631189,TOR,24,1,Yankee Stadium,3313
631190,NYY,29,6,Yankee Stadium,3313
631190,TOR,29,2,Yankee Stadium,3313
631191,MIA,29,1,Yankee Stadium,3313
631191,NYY,22,0,Yankee Stadium,3313
631192,ATL,30,1,Yankee Stadium,3313
631192,NYY,22,2,Yankee Stadium,3313
631193,MIA,26,0,Yankee Stadium,3313
631193,NYY,25,3,Yankee Stadium,3313
631194,NYY,22,1,Yankee Stadium,3313
631194,TB,26,3,Yankee Stadium,3313
631195,NYY,32,6,Yankee Stadium,3313
631195,TOR,30,2,Yankee Stadium,3313
631196,BOS,21,1,Yankee Stadium,3313
631196,NYY,30,1,Yankee Stadium,3313
631197,BOS,32,2,Yankee Stadium,3313
631197,NYY,28,3,Yankee Stadium,3313
631198,BOS,23,1,Yankee Stadium,3313
631198,NYY,26,1,Yankee Stadium,3313
631199,BOS,26,0,Yankee Stadium,3313
631199,NYY,22,4,Yankee Stadium,3313
631200,NYY,22,2,Yankee Stadium,3313
631200,TB,27,2,Yankee Stadium,3313
631201,NYY,17,1,Yankee Stadium,3313
631201,TB,23,2,Yankee Stadium,3313
631202,NYY,32,2,Yankee Stadium,3313
631202,TB,24,2,Yankee Stadium,3313
631203,NYM,22,3,Yankee Stadium,3313
631203,NYY,16,1,Yankee Stadium,3313
631204,NYM,23,1,Yankee Stadium,3313
631204,NYY,20,1,Yankee Stadium,3313
631205,NYM,21,1,Yankee Stadium,3313
631205,NYY,26,1,Yankee Stadium,3313
631206,NYY,24,2,Yankee Stadium,3313
631206,TB,27,2,Yankee Stadium,3313
631207,NYY,24,2,Yankee Stadium,3313
631207,TB,19,2,Yankee Stadium,3313
631208,ATL,30,1,Yankee Stadium,3313
631208,NYY,28,2,Yankee Stadium,3313
631209,NYM,28,5,Citi Field,3289
631209,PHI,16,1,Citi Field,3289
631210,BOS,26,3,Yankee Stadium,3313
631210,NYY,25,3,Yankee Stadium,3313
631211,BAL,33,4,Citi Field,3289
631211,NYM,24,2,Citi Field,3289
631212,BAL,33,1,Citi Field,3289
631212,NYM,25,4,Citi Field,3289
631213,ATL,31,6,Citi Field,3289
631213,NYM,24,0,Citi Field,3289
631214,ATL,16,2,Citi Field,3289
631214,NYM,22,2,Citi Field,3289
631215,ATL,22,1,Citi Field,3289
631215,NYM,22,0,Citi Field,3289
631216,NYM,22,0,Citi Field,3289
631216,TB,15,1,Citi Field,3289
631217,NYM,19,3,Citi Field,3289
631217,TB,20,1,Citi Field,3289
631218,NYM,20,3,Citi Field,3289
631218,TB,27,4,Citi Field,3289
631219,NYY,22,3,Yankee Stadium,3313
631219,PHI,25,1,Yankee Stadium,3313
631220,NYY,28,2,Citizens Bank Park,2681
631220,PHI,30,2,Citizens Bank Park,2681
631221,NYM,25,1,Citi Field,3289
631221,PHI,23,0,Citi Field,3289
631222,BOS,21,1,Yankee Stadium,3313
631222,NYY,28,3,Yankee Stadium,3313
631223,MIA,22,2,Citi Field,3289
631223,NYM,27,1,Citi Field,3289
631224,BOS,21,0,Yankee Stadium,3313
631224,NYY,25,2,Yankee Stadium,3313
631225,NYM,33,1,Citi Field,3289
631225,PHI,31,3,Citi Field,3289
631226,MIA,15,0,Citi Field,3289
631226,NYM,25,2,Citi Field,3289
631227,MIA,20,0,Citi Field,3289
631227,NYM,28,0,Citi Field,3289
631228,NYM,28,0,Citi Field,3289
631228,PHI,21,1,Citi Field,3289
631229,NYM,21,0,Yankee Stadium,3313
631229,NYY,20,2,Yankee Stadium,3313
631230,NYM,20,1,Yankee Stadium,3313
631230,NYY,18,0,Yankee Stadium,3313
631231,NYM,28,3,Citi Field,3289
631231,WSH,28,1,Citi Field,3289
631232,NYM,30,3,Citi Field,3289
631232,WSH,24,4,Citi Field,3289
631233,NYM,28,1,Citi Field,3289
